file,url,boxes,is_primary,Is there a face?,Hard to spot?,Accident or design?,Emotion?,Person or creature?,Gender?,Amusing?,Common?,Flags,num_boxes,train,split
000007038.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000007038.jpg,"[[202.105, 160.975, 233.308, 190.05]]",[True],Yes,Hard,Accident,Neutral,Animal,Neutral,Somewhat,Uncommon,['Interesting'],1,False,3
000018844.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000018844.jpg,"[[138, 288, 83, 71]]",[True],Yes,Hard,Accident,Neutral,Human-Old,Male,No,Uncommon,,1,True,0
000026283.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000026283.jpg,"[[268, 315, 16, 26], [316, 266, 21, 17]]","[False, True]",Several,Easy,Design,Neutral,Cartoon,Neutral,No,Uncommon,['Interesting'],2,False,1
000020601.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000020601.jpg,"[[229, 221, 90, 87]]",[True],Yes,Easy,,Sad,Cartoon,Neutral,No,Common,['NSFW'],1,True,1
000020510.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000020510.jpg,"[[77, 203, 103, 92], [323, 326, 118, 100], [334, 198, 116, 95], [329, 86, 107, 90]]","[True, False, False, False]",Several,Easy,Design,Happy,Cartoon,Neutral,No,Common,,4,True,2
000025668.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000025668.jpg,"[[260, 126, 133, 197]]",[True],Yes,Medium,Accident,Neutral,Human-Adult,Neutral,No,Uncommon,,1,False,1
000021539.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000021539.jpg,"[[221, 137, 111, 151]]",[True],Yes,Medium,Accident,Neutral,Human-Adult,Male,No,Uncommon,,1,True,0
000001944.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000001944.jpg,"[[132, 191, 258, 115]]",[True],Yes,Easy,Design,Neutral,,Female,Somewhat,Common,,1,False,1
000014815.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000014815.jpg,"[[291, 213, 119, 75]]",[True],Yes,Easy,Accident,,Animal,Neutral,No,Common,['Interesting'],1,False,0
000025426.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000025426.jpg,"[[165, 168, 38, 72]]",[True],Yes,Easy,Accident,Neutral,Other,Neutral,No,Common,['NSFW'],1,True,1
000005736.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000005736.jpg,"[[323.368, 112.753, 136.865, 255.291]]",[True],Yes,Easy,Design,Neutral,Human-Adult,Male,Somewhat,Uncommon,['Interesting'],1,False,0
000004308.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000004308.jpg,"[[90, 259, 125, 123], [121, 117, 101, 90], [309, 108, 101, 80], [293, 239, 120, 111]]","[False, False, False, True]",Several,Easy,Design,Neutral,Cartoon,Neutral,No,Uncommon,['Interesting'],4,True,3
000015457.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000015457.jpg,"[[293, 234, 166, 117], [123, 330, 162, 114]]","[True, False]",Several,Easy,Design,Happy,Other,Neutral,No,Common,,2,True,2
000000575.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000000575.jpg,"[[133, 98, 227, 183]]",[True],Yes,Medium,Accident,Surprised,Robot,Neutral,No,Common,,1,True,3
000021730.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000021730.jpg,"[[138, 66, 266, 186]]",[True],Yes,Medium,Accident,Neutral,Alien,Neutral,No,Uncommon,,1,True,2
000017095.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000017095.jpg,"[[212, 165, 75, 70]]",[True],Yes,Easy,Accident,Neutral,Other,Neutral,No,Common,['Interesting'],1,False,2
